party,n_persons,pct_persons,top1_accuracy,top1_ci_lo,top1_ci_hi,top3_accuracy,top3_ci_lo,top3_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
AfD,1540,31.70028818443804,0.40194805194805194,0.37857142857142856,0.4259902597402597,0.31233766233766236,0.2902597402597403,0.33311688311688314,8.342181467181467,8.097277033954665,8.588028636548373
Die Linke Halle,814,16.75586661177439,0.6793611793611793,0.6461609336609336,0.7113022113022113,0.3022113022113022,0.2714987714987715,0.3353808353808354,8.684656141981888,8.41670514834633,8.959669270168915
Volt,630,12.968299711815561,0.3984126984126984,0.3619047619047619,0.436547619047619,0.25396825396825395,0.21904761904761905,0.28892857142857137,5.496793786267469,5.223925523267629,5.768529572805888
FDP,481,9.901193906957596,0.5446985446985447,0.501039501039501,0.5883575883575883,0.26195426195426197,0.22245322245322247,0.30145530145530147,3.406953566982016,3.1863026515409154,3.6180162682652015
SPD,324,6.669411280362289,0.39197530864197533,0.3395061728395062,0.4444444444444444,0.19135802469135801,0.14814814814814814,0.2345679012345679,3.987595051191542,3.671134127548602,4.307993574715066
dieBasis,295,6.07245780156443,0.5491525423728814,0.49491525423728816,0.6067796610169491,0.3593220338983051,0.30847457627118646,0.41694915254237286,5.69815801528558,5.288039154230055,6.122632724160379
Grüne,278,5.722519555372582,0.7122302158273381,0.658273381294964,0.7662769784172662,0.20863309352517986,0.1618705035971223,0.2589928057553957,5.367029278426476,4.951196759519838,5.765319110287872
Freie Wähler,176,3.6228900782214906,0.6931818181818182,0.625,0.7613636363636364,0.18181818181818182,0.125,0.24431818181818182,3.7673364153627302,3.3978111260183623,4.145598106330014
CDU,174,3.5817208727871552,0.5632183908045977,0.4885057471264368,0.6379310344827587,0.3563218390804598,0.287212643678161,0.42528735632183906,3.2386856003008453,2.8919317457203118,3.5739712602802434
MitBürger,117,2.4083985179086045,0.5555555555555556,0.46153846153846156,0.6410256410256411,0.3504273504273504,0.26495726495726496,0.4358974358974359,4.5310999258367675,3.9247965070333484,5.106028346159925
Die PARTEI,29,0.5969534787978592,0.41379310344827586,0.20689655172413793,0.5862068965517241,0.27586206896551724,0.13793103448275862,0.4482758620689655,3.9767989405013013,3.013470594005987,5.037094717221761
