party,n_persons,pct_persons,mean_items_asked,items_ci_lo,items_ci_hi,top3_accuracy,top3_ci_lo,top3_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
AfD,1540,31.70028818443804,14.762337662337663,14.201639610389611,15.394172077922077,0.9616883116883117,0.9512987012987013,0.9714285714285714,8.754877441371208,8.331687954830612,9.202190785121017
Die Linke Halle,814,16.75586661177439,20.213759213759214,19.486486486486488,20.90085995085995,0.995085995085995,0.9901719901719902,0.9987714987714987,6.13458547478691,5.799809712119159,6.5076387444385775
Volt,630,12.968299711815561,19.977777777777778,19.142777777777777,20.82559523809524,0.9793650793650793,0.9666666666666667,0.9888888888888889,4.416066442901965,4.121908232825078,4.743318750600776
FDP,481,9.901193906957596,17.245322245322246,16.180613305613306,18.33487525987526,0.9272349272349273,0.9043659043659044,0.9501039501039501,4.813178013637186,4.225890243887226,5.43488309508776
SPD,324,6.669411280362289,22.47222222222222,21.320833333333333,23.712962962962962,0.9197530864197531,0.8888888888888888,0.9475308641975309,3.4349406656256067,2.9470035673478177,3.944394891452231
dieBasis,295,6.07245780156443,16.423728813559322,15.080932203389832,17.871525423728816,0.9220338983050848,0.8915254237288136,0.9525423728813559,5.791492705937394,5.042576921973394,6.593726162791546
Grüne,278,5.722519555372582,20.31654676258993,18.970773381294965,21.56474820143885,0.9640287769784173,0.9388489208633094,0.9856115107913669,5.054907229988273,4.421706645836196,5.701682826768037
Freie Wähler,176,3.6228900782214906,19.59090909090909,18.016619318181817,21.25,0.9318181818181818,0.8920454545454546,0.9659090909090909,4.448574953456231,3.7423967391958355,5.242100892714002
CDU,174,3.5817208727871552,15.235632183908047,13.517097701149426,17.051867816091956,0.9540229885057471,0.9195402298850575,0.9827586206896551,5.390997483535428,4.372307226438893,6.532731064779256
MitBürger,117,2.4083985179086045,19.11111111111111,17.205128205128204,21.23119658119658,0.9658119658119658,0.9316239316239316,0.9914529914529915,4.893200445098057,3.9978950007561167,5.971740672281969
Die PARTEI,29,0.5969534787978592,18.93103448275862,13.998275862068967,23.45172413793103,0.9310344827586207,0.8275862068965517,1.0,5.899829915894397,3.052602070523609,9.28995687379712
