party,n_persons,pct_persons,top1_accuracy,top1_ci_lo,top1_ci_hi,top3_accuracy,top3_ci_lo,top3_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
AfD,1540,31.70028818443804,0.7551948051948052,0.7311688311688311,0.7772727272727272,0.5551948051948052,0.5311525974025975,0.5785714285714286,3.8909658975448447,3.741188621122831,4.046615213556003
Die Linke Halle,814,16.75586661177439,0.8243243243243243,0.7997542997542998,0.8501228501228502,0.5552825552825553,0.5233415233415234,0.5884520884520884,3.193644472093974,3.0210792592993876,3.3770278789393298
Volt,630,12.968299711815561,0.6222222222222222,0.5873015873015873,0.6587301587301587,0.3476190476190476,0.3126587301587302,0.3873015873015873,3.28044209623157,3.094521212942267,3.486073714692137
FDP,481,9.901193906957596,0.5509355509355509,0.5072765072765073,0.5945945945945946,0.4677754677754678,0.41995841995842,0.5114345114345115,2.9837228628124786,2.769239826049925,3.1782217508568853
SPD,324,6.669411280362289,0.5123456790123457,0.4537037037037037,0.5648148148148148,0.33024691358024694,0.2808641975308642,0.38271604938271603,3.3115352194299548,3.023287816325096,3.6067920991166598
dieBasis,295,6.07245780156443,0.6644067796610169,0.6135593220338983,0.7186440677966102,0.576271186440678,0.5186440677966102,0.630593220338983,3.9322998288207924,3.609875653976902,4.253988656363768
Grüne,278,5.722519555372582,0.5251798561151079,0.46402877697841727,0.5827338129496403,0.5251798561151079,0.46753597122302165,0.5827338129496403,4.193167514352671,3.82317208111178,4.568185423211928
Freie Wähler,176,3.6228900782214906,0.3409090909090909,0.2784090909090909,0.40923295454545444,0.23295454545454544,0.16477272727272727,0.2897727272727273,4.238430266390792,3.80992226900944,4.70964535109272
CDU,174,3.5817208727871552,0.4482758620689655,0.3735632183908046,0.5287356321839081,0.5689655172413793,0.4885057471264368,0.6379310344827587,3.393195827406355,3.018746116806463,3.748622999133435
MitBürger,117,2.4083985179086045,0.5042735042735043,0.41025641025641024,0.5982905982905983,0.358974358974359,0.27350427350427353,0.452991452991453,3.4706264969422858,2.9905297503981703,3.9727556503872283
Die PARTEI,29,0.5969534787978592,0.5172413793103449,0.3103448275862069,0.6896551724137931,0.27586206896551724,0.13793103448275862,0.4482758620689655,2.694118801196839,1.9055188355324455,3.5513286653259377
