party,n_persons,pct_persons,mean_items_asked,items_ci_lo,items_ci_hi,top3_accuracy,top3_ci_lo,top3_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
AfD,1540,31.70028818443804,8.776623376623377,8.33051948051948,9.237207792207792,0.9922077922077922,0.987646103896104,0.9961038961038962,9.754918821592552,9.238564670135352,10.254261117766307
Die Linke Halle,814,16.75586661177439,11.35995085995086,10.78095823095823,11.930128992628992,0.9963144963144963,0.9926289926289926,1.0,6.2113039272497135,5.849214643424686,6.616934326605518
Volt,630,12.968299711815561,16.18095238095238,15.457103174603175,16.827380952380953,0.9920634920634921,0.9841269841269841,0.9984126984126984,4.265163914185298,3.97865748585385,4.556919678803264
FDP,481,9.901193906957596,12.272349272349272,11.301403326403328,13.258004158004159,0.9812889812889813,0.9688149688149689,0.9916839916839917,6.623918917785932,5.893030108021218,7.375355452983105
SPD,324,6.669411280362289,17.169753086419753,16.12013888888889,18.22885802469136,0.9938271604938271,0.9845679012345679,1.0,4.235679240288112,3.6874932593370073,4.829671077430082
dieBasis,295,6.07245780156443,10.474576271186441,9.34906779661017,11.745762711864407,0.9932203389830508,0.9830508474576272,1.0,8.18021196597413,7.292799726117554,9.097900847365418
Grüne,278,5.722519555372582,13.83453237410072,12.676079136690648,14.856744604316546,1.0,1.0,1.0,5.019897438843954,4.4439350327841725,5.577734944027736
Freie Wähler,176,3.6228900782214906,18.443181818181817,16.891335227272727,20.051704545454545,0.9772727272727273,0.9545454545454546,0.9943181818181818,4.2442308338649966,3.494268437039398,5.122232199936071
CDU,174,3.5817208727871552,10.655172413793103,9.1375,12.24712643678161,0.9942528735632183,0.9827586206896551,1.0,7.271811792914865,6.033413901338494,8.45773380615992
MitBürger,117,2.4083985179086045,18.58974358974359,16.61517094017094,20.60811965811966,0.9914529914529915,0.9743589743589743,1.0,4.399821319262205,3.3072374897158707,5.73669431561461
Die PARTEI,29,0.5969534787978592,16.379310344827587,12.584482758620691,20.413793103448278,0.9310344827586207,0.8275862068965517,1.0,5.9842621923855965,3.5483154509411206,9.175781132564708
