party,n_persons,pct_persons,mean_items_asked,items_ci_lo,items_ci_hi,top3_accuracy,top3_ci_lo,top3_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
AfD,1540,31.70028818443804,16.112337662337662,15.547272727272727,16.656672077922078,0.9727272727272728,0.964935064935065,0.9805194805194806,8.464139091833946,8.04799476268617,8.908627643426982
Die Linke Halle,814,16.75586661177439,18.45823095823096,17.69649877149877,19.194379606879608,0.9680589680589681,0.9557739557739557,0.9791154791154791,5.30425049440417,4.968251199358769,5.658737082647697
Volt,630,12.968299711815561,20.396825396825395,19.649126984126983,21.222261904761904,0.9746031746031746,0.9619047619047619,0.9873015873015873,3.5897073487390405,3.2889852992706667,3.9155566787571283
FDP,481,9.901193906957596,18.164241164241165,17.153742203742205,19.214553014553015,0.9417879417879418,0.920997920997921,0.9604989604989606,4.928643706535695,4.349471003190549,5.550186765001259
SPD,324,6.669411280362289,21.324074074074073,20.336265432098767,22.305632716049384,0.9660493827160493,0.9475308641975309,0.9814814814814815,2.834233775071832,2.4547141896373317,3.2445163075877788
dieBasis,295,6.07245780156443,15.494915254237288,14.308305084745763,16.647881355932203,0.9694915254237289,0.9491525423728814,0.9864406779661017,6.60978672447825,5.8498711014850775,7.392741898225121
Grüne,278,5.722519555372582,19.81654676258993,18.474280575539566,21.0113309352518,0.9676258992805755,0.9460431654676259,0.9857014388489208,4.06939030175222,3.603600006645367,4.630908199380451
Freie Wähler,176,3.6228900782214906,21.397727272727273,19.959801136363637,22.904261363636362,0.9261363636363636,0.8863636363636364,0.9602272727272727,4.010822779992396,3.161945026193795,4.910650820507782
CDU,174,3.5817208727871552,17.097701149425287,15.453448275862069,18.707327586206898,0.9540229885057471,0.9195402298850575,0.9827586206896551,4.638957278278178,3.6702592680086523,5.736931593513539
MitBürger,117,2.4083985179086045,21.264957264957264,19.162179487179486,23.31730769230769,0.9572649572649573,0.9145299145299145,0.9914529914529915,3.3589832559000676,2.7240367138988923,4.027748925698805
Die PARTEI,29,0.5969534787978592,18.96551724137931,15.654310344827588,22.485344827586204,1.0,1.0,1.0,4.8387017587426575,2.5858131353714215,8.011667039593195
