party,n_persons,pct_persons,top1_accuracy,top1_ci_lo,top1_ci_hi,top3_accuracy,top3_ci_lo,top3_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
AfD,1540,31.70028818443804,0.488961038961039,0.4636363636363636,0.5136363636363637,0.44545454545454544,0.41753246753246753,0.4714448051948052,7.923474995843416,7.692818694463432,8.142552904066061
Die Linke Halle,814,16.75586661177439,0.6977886977886978,0.6670761670761671,0.7297297297297297,0.2972972972972973,0.26535626535626533,0.32678132678132676,6.7180712006458805,6.489855908863732,6.949690318955966
Volt,630,12.968299711815561,0.2492063492063492,0.21900793650793654,0.28253968253968254,0.2523809523809524,0.21587301587301588,0.2857142857142857,5.130873354557565,4.899314728262096,5.386579483618957
FDP,481,9.901193906957596,0.5592515592515592,0.5155405405405407,0.604989604989605,0.33264033264033266,0.2910602910602911,0.3762993762993763,3.537667495704479,3.3143725435688447,3.7423174145258065
SPD,324,6.669411280362289,0.3734567901234568,0.32407407407407407,0.43209876543209874,0.12037037037037036,0.08024691358024691,0.1574074074074074,4.225881583337724,3.929785048206101,4.519313721616354
dieBasis,295,6.07245780156443,0.6508474576271186,0.6,0.7050847457627119,0.3559322033898305,0.3050000000000001,0.4101694915254237,5.2315741254189065,4.8258884441979895,5.664603274103721
Grüne,278,5.722519555372582,0.6654676258992805,0.6115107913669064,0.7194244604316546,0.23381294964028776,0.18705035971223022,0.2841726618705036,3.882640686881504,3.584522140466858,4.205000153504507
Freie Wähler,176,3.6228900782214906,0.6761363636363636,0.6022727272727273,0.7386363636363636,0.24431818181818182,0.18181818181818182,0.3125,3.4611203607914125,3.093208994730375,3.8660054716798125
CDU,174,3.5817208727871552,0.6091954022988506,0.5344827586206896,0.6839080459770115,0.4540229885057471,0.3793103448275862,0.5287356321839081,3.1666421412337917,2.841378697209004,3.502065756773106
MitBürger,117,2.4083985179086045,0.4188034188034188,0.3333333333333333,0.5042735042735043,0.2905982905982906,0.20512820512820512,0.37606837606837606,3.9979757085020236,3.4622261431471952,4.552915770021032
Die PARTEI,29,0.5969534787978592,0.6206896551724138,0.4482758620689655,0.7931034482758621,0.27586206896551724,0.13793103448275862,0.4482758620689655,3.664712807181049,2.7912241869819057,4.49575710011282
