party,n_persons,pct_persons,mean_items_asked,items_ci_lo,items_ci_hi,top1_accuracy,top1_ci_lo,top1_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
AfD,1540,31.70028818443804,7.527272727272727,7.026590909090909,8.053896103896104,0.9896103896103896,0.9844155844155844,0.9941558441558441,15.420055704048291,14.839748812089027,15.973506879465173
Die Linke Halle,814,16.75586661177439,5.933660933660934,5.4234029484029485,6.443519656019656,0.9975429975429976,0.9938574938574939,1.0,12.350353936377632,11.773432355225856,12.949476346314427
Volt,630,12.968299711815561,18.87142857142857,17.904285714285717,19.952380952380953,0.9571428571428572,0.9396825396825397,0.9714285714285714,4.92134809963425,4.500343771518876,5.384445945250049
FDP,481,9.901193906957596,11.652806652806653,10.806237006237007,12.567671517671519,0.9833679833679834,0.9708939708939709,0.9937629937629938,8.061269086845227,7.285144620135278,8.828252767820894
SPD,324,6.669411280362289,13.478395061728396,12.400617283950618,14.642052469135802,0.9876543209876543,0.9722222222222222,0.9969135802469136,6.208708902027158,5.52429304891277,6.927258135804433
dieBasis,295,6.07245780156443,8.267796610169492,7.36593220338983,9.16635593220339,0.9966101694915255,0.9898305084745763,1.0,10.000294050492363,9.058687838116754,11.068728837224638
Grüne,278,5.722519555372582,10.241007194244604,9.240827338129497,11.284442446043165,0.9856115107913669,0.9712230215827338,0.9964028776978417,7.094010108458657,6.342305681601655,7.810010934745305
Freie Wähler,176,3.6228900782214906,9.460227272727273,8.39190340909091,10.73309659090909,1.0,1.0,1.0,9.476103196594755,8.106462056372216,10.779875621620048
CDU,174,3.5817208727871552,10.505747126436782,8.993534482758621,11.97183908045977,0.9885057471264368,0.9712643678160919,1.0,7.974773321403069,6.640254102797123,9.373137127477024
MitBürger,117,2.4083985179086045,14.034188034188034,12.247222222222222,15.991452991452991,0.9914529914529915,0.9743589743589743,1.0,5.662541400671361,4.616238204990653,6.765276447710564
Die PARTEI,29,0.5969534787978592,9.172413793103448,5.724137931034483,12.827586206896552,1.0,1.0,1.0,12.922418822520244,8.783418804780366,17.972409024798733
