party,n_persons,pct_persons,top1_accuracy,top1_ci_lo,top1_ci_hi,top3_accuracy,top3_ci_lo,top3_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
AfD,1540,31.70028818443804,0.6584415584415585,0.6344155844155844,0.6811688311688312,0.4636363636363636,0.4409090909090909,0.4883116883116883,3.8061369640317007,3.6609913912545484,3.9562623542886697
Die Linke Halle,814,16.75586661177439,0.7051597051597052,0.671990171990172,0.7334152334152334,0.3181818181818182,0.28624078624078625,0.3501228501228501,3.1680652591036655,3.0065617999028382,3.3378513810590626
Volt,630,12.968299711815561,0.48095238095238096,0.44285714285714284,0.5190476190476191,0.2253968253968254,0.19206349206349208,0.2571825396825396,3.387438190069769,3.198126933324302,3.586361032084716
FDP,481,9.901193906957596,0.4802494802494803,0.4386174636174637,0.525987525987526,0.3471933471933472,0.30353430353430355,0.3908523908523909,3.0434609026358665,2.8272681602162395,3.267464689495273
SPD,324,6.669411280362289,0.4567901234567901,0.404320987654321,0.5124228395061728,0.23765432098765432,0.19436728395061736,0.28094135802469133,3.3503898635477585,3.063550118100557,3.6231310806420454
dieBasis,295,6.07245780156443,0.5728813559322034,0.511864406779661,0.6238135593220339,0.45084745762711864,0.3898305084745763,0.5050847457627119,3.9371217783349803,3.5805024471393776,4.313841104708632
Grüne,278,5.722519555372582,0.4748201438848921,0.4172661870503597,0.5359712230215827,0.302158273381295,0.24820143884892087,0.35611510791366907,3.418865192341149,3.115740160361043,3.727717861272859
Freie Wähler,176,3.6228900782214906,0.39204545454545453,0.3125,0.4659090909090909,0.17613636363636365,0.125,0.23295454545454544,3.833812879865512,3.4339993776671416,4.2871283177615425
CDU,174,3.5817208727871552,0.41954022988505746,0.3563218390804598,0.4885057471264368,0.4827586206896552,0.40229885057471265,0.5574712643678161,3.0864235378754428,2.7628436626281463,3.469955322836448
MitBürger,117,2.4083985179086045,0.5128205128205128,0.42735042735042733,0.6068376068376068,0.27350427350427353,0.18803418803418803,0.35064102564102545,3.0060424797266903,2.5116601925812465,3.5362184046394587
Die PARTEI,29,0.5969534787978592,0.4827586206896552,0.3103448275862069,0.6551724137931034,0.20689655172413793,0.06896551724137931,0.345689655172413,4.887918771766323,3.7431635355864037,6.173787217344389
