party,n_persons,pct_persons,mean_items_asked,items_ci_lo,items_ci_hi,top1_accuracy,top1_ci_lo,top1_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
AfD,1540,31.70028818443804,3.3558441558441556,3.166201298701299,3.5727435064935067,1.0,1.0,1.0,15.512701893495134,14.942882628636672,16.094262345411586
Die Linke Halle,814,16.75586661177439,3.9348894348894348,3.599477886977887,4.270331695331695,1.0,1.0,1.0,13.179573585197518,12.549776769449,13.809812845500849
Volt,630,12.968299711815561,7.436507936507937,6.957142857142857,7.954007936507937,0.9984126984126984,0.9952380952380953,1.0,8.03376600532745,7.510926929202647,8.546460102421426
FDP,481,9.901193906957596,5.079002079002079,4.609147609147609,5.586590436590437,1.0,1.0,1.0,9.43111843155093,8.677075027642456,10.216779750289975
SPD,324,6.669411280362289,8.746913580246913,7.972145061728395,9.602006172839506,0.9969135802469136,0.9907407407407407,1.0,7.161957091383403,6.443211979857478,7.934040754356446
dieBasis,295,6.07245780156443,7.342372881355932,6.515169491525423,8.105084745762712,1.0,1.0,1.0,8.743923190253655,7.874786319228052,9.713379384313935
Grüne,278,5.722519555372582,8.453237410071942,7.532284172661871,9.482014388489208,0.9964028776978417,0.9892086330935251,1.0,7.156438063240221,6.372209362705683,8.030830049960244
Freie Wähler,176,3.6228900782214906,9.232954545454545,8.027698863636365,10.421022727272726,0.9943181818181818,0.9829545454545454,1.0,8.04687094710999,6.961371319842496,9.263236676197398
CDU,174,3.5817208727871552,9.03448275862069,7.689655172413793,10.442672413793103,1.0,1.0,1.0,7.667045127025192,6.483892485177961,8.934160496581208
MitBürger,117,2.4083985179086045,10.350427350427351,8.768589743589745,11.991666666666667,1.0,1.0,1.0,6.6429152385796915,5.395921989876971,7.879847886638845
Die PARTEI,29,0.5969534787978592,7.827586206896552,5.413793103448276,10.62155172413793,1.0,1.0,1.0,14.567683615097412,9.637146938978836,19.629502539093053
