party,n_persons,pct_persons,top1_accuracy,top1_ci_lo,top1_ci_hi,top3_accuracy,top3_ci_lo,top3_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
AfD,1540,31.70028818443804,0.6896103896103896,0.6668668831168831,0.7103896103896103,0.512987012987013,0.488961038961039,0.5383116883116883,4.107881805250226,3.969870834180045,4.262164355914356
Die Linke Halle,814,16.75586661177439,0.7911547911547911,0.7640970515970517,0.816953316953317,0.5442260442260443,0.5085995085995086,0.5761977886977887,3.75485808451669,3.5684684102180544,3.949076614439346
Volt,630,12.968299711815561,0.6317460317460317,0.5952380952380952,0.6682936507936507,0.33174603174603173,0.2968253968253968,0.36984126984126986,3.4220404615141455,3.229634474700264,3.626002647384227
FDP,481,9.901193906957596,0.6070686070686071,0.5613305613305614,0.6528066528066528,0.446985446985447,0.40332640332640335,0.49064449064449067,2.9334482748423008,2.7368681667223633,3.1581017498513937
SPD,324,6.669411280362289,0.49691358024691357,0.4444444444444444,0.5494598765432098,0.3271604938271605,0.2777777777777778,0.3765432098765432,3.721374883655586,3.428588950792898,4.0487664199287
dieBasis,295,6.07245780156443,0.6440677966101694,0.5864406779661017,0.6983050847457627,0.5796610169491525,0.5254237288135594,0.6338983050847458,3.546664416423561,3.204771620416135,3.880828531475276
Grüne,278,5.722519555372582,0.5431654676258992,0.4856115107913669,0.6007194244604317,0.44964028776978415,0.3920863309352518,0.5035971223021583,4.196429485145881,3.8452815272675176,4.58313132566493
Freie Wähler,176,3.6228900782214906,0.4034090909090909,0.32954545454545453,0.4772727272727273,0.24431818181818182,0.1875,0.3068181818181818,4.287327848183111,3.838035852838485,4.7409918328915035
CDU,174,3.5817208727871552,0.45977011494252873,0.39080459770114945,0.5287356321839081,0.4942528735632184,0.41954022988505746,0.5689655172413793,3.1647005444646097,2.7709881501283498,3.5925160641585316
MitBürger,117,2.4083985179086045,0.5384615384615384,0.4444444444444444,0.6324786324786325,0.41025641025641024,0.3162393162393162,0.49572649572649574,3.921836816573658,3.3561560041823193,4.4778368956000545
Die PARTEI,29,0.5969534787978592,0.3793103448275862,0.20689655172413793,0.5517241379310345,0.1724137931034483,0.06896551724137931,0.3103448275862069,4.821700103006817,3.889534384656889,5.9159482758620685
