party,n_persons,pct_persons,top1_accuracy,top1_ci_lo,top1_ci_hi,top3_accuracy,top3_ci_lo,top3_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
AfD,1540,31.70028818443804,0.6337662337662338,0.6084253246753247,0.6584577922077922,0.44675324675324674,0.42337662337662335,0.4714448051948052,3.809727789990948,3.665194158615211,3.9520041658199547
Die Linke Halle,814,16.75586661177439,0.7113022113022113,0.6793611793611793,0.7420454545454546,0.36609336609336607,0.33292383292383293,0.39926289926289926,3.109676500501536,2.9356613984992372,3.270650791098871
Volt,630,12.968299711815561,0.43174603174603177,0.3904761904761905,0.46825396825396826,0.2650793650793651,0.23015873015873015,0.2984126984126984,3.3402199191672883,3.143804754002123,3.5471477116213967
FDP,481,9.901193906957596,0.4968814968814969,0.45114345114345117,0.5384615384615384,0.39501039501039503,0.35343035343035345,0.4407484407484408,2.945018823397202,2.74163778342299,3.1336501864595756
SPD,324,6.669411280362289,0.48148148148148145,0.42592592592592593,0.5308641975308642,0.25308641975308643,0.20679012345679013,0.30246913580246915,3.6284091108652508,3.3563374229492653,3.90067013285215
dieBasis,295,6.07245780156443,0.559322033898305,0.5050847457627119,0.6135593220338983,0.46440677966101696,0.4033898305084746,0.5220338983050847,3.467765267497649,3.190108373315331,3.752267823130891
Grüne,278,5.722519555372582,0.460431654676259,0.39928057553956836,0.5143884892086331,0.3489208633093525,0.2984712230215828,0.4064748201438849,3.0585773202206377,2.7728094906720435,3.3585587077990526
Freie Wähler,176,3.6228900782214906,0.3806818181818182,0.3068181818181818,0.44886363636363635,0.16477272727272727,0.10795454545454546,0.2215909090909091,3.3019001357817146,2.903627311522049,3.7122735961140565
CDU,174,3.5817208727871552,0.5057471264367817,0.4367816091954023,0.5804597701149425,0.4367816091954023,0.36192528735632196,0.5114942528735632,2.9803510406958673,2.5713128055460164,3.4374054748941303
MitBürger,117,2.4083985179086045,0.5726495726495726,0.47863247863247865,0.6581196581196581,0.3162393162393162,0.23931623931623933,0.4017094017094017,3.2063439958176794,2.7825915490389175,3.654921368737158
Die PARTEI,29,0.5969534787978592,0.3793103448275862,0.20689655172413793,0.5517241379310345,0.2413793103448276,0.10344827586206896,0.41379310344827586,4.7493500760288425,3.4684940157943784,6.052432309805269
