party,n_persons,pct_persons,mean_items_asked,items_ci_lo,items_ci_hi,top3_accuracy,top3_ci_lo,top3_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
AfD,1540,31.70028818443804,12.803246753246754,12.22590909090909,13.371428571428572,0.9792207792207792,0.9714285714285714,0.9857305194805195,8.115077254954967,7.666962053919074,8.576481401739382
Die Linke Halle,814,16.75586661177439,17.595823095823096,16.815601965601967,18.315939803439804,0.9557739557739557,0.941031941031941,0.9692874692874693,4.381205042531461,4.053768486930956,4.735389847897178
Volt,630,12.968299711815561,20.874603174603173,20.047420634920634,21.6859126984127,0.9412698412698413,0.9222222222222223,0.9587301587301588,3.5994068128226395,3.2821022604551526,3.9433641659935863
FDP,481,9.901193906957596,16.284823284823286,15.172453222453223,17.345530145530148,0.9355509355509356,0.9126819126819127,0.9563409563409564,5.63827147757488,4.946067785527958,6.329877030580961
SPD,324,6.669411280362289,22.03395061728395,20.962885802469135,23.138966049382717,0.9537037037037037,0.9290123456790124,0.9753086419753086,3.555314111021779,3.062169629689312,4.077761928806326
dieBasis,295,6.07245780156443,14.616949152542373,13.328728813559323,16.027457627118643,0.9593220338983051,0.9355932203389831,0.9796610169491525,6.495548840114353,5.650882269126832,7.393725653520179
Grüne,278,5.722519555372582,18.985611510791365,17.816456834532374,20.3205035971223,0.9460431654676259,0.9172661870503597,0.9712230215827338,4.49946666885194,3.8312689708291323,5.184890333283044
Freie Wähler,176,3.6228900782214906,21.77840909090909,20.232954545454547,23.39247159090909,0.9318181818181818,0.8920454545454546,0.9659090909090909,3.9164099729343946,3.104675203065992,4.815592463028858
CDU,174,3.5817208727871552,15.126436781609195,13.102155172413795,16.931321839080457,0.9597701149425287,0.9310344827586207,0.9827586206896551,6.147070022323464,5.10757356105502,7.49505562389623
MitBürger,117,2.4083985179086045,20.29059829059829,18.47008547008547,22.257264957264955,0.9658119658119658,0.9316239316239316,0.9914529914529915,3.314092328809165,2.554423385903369,4.132690786393367
Die PARTEI,29,0.5969534787978592,21.24137931034483,16.413793103448278,25.89741379310345,0.9310344827586207,0.8267241379310353,1.0,4.77375791333702,2.358022272017423,8.011600190336878
