party,n_persons,pct_persons,top1_accuracy,top1_ci_lo,top1_ci_hi,top3_accuracy,top3_ci_lo,top3_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
AfD,1540,31.70028818443804,0.6701298701298701,0.6461038961038961,0.6922240259740259,0.3025974025974026,0.2798701298701299,0.32662337662337665,6.011008017586964,5.8050089135615455,6.228293110694425
Die Linke Halle,814,16.75586661177439,0.6842751842751843,0.6523341523341524,0.714987714987715,0.32186732186732187,0.29112407862407863,0.3574938574938575,5.726882158247733,5.4951942316362645,5.953307341998664
Volt,630,12.968299711815561,0.49047619047619045,0.4507936507936508,0.5301587301587302,0.1873015873015873,0.15714285714285714,0.21746031746031746,3.567477251687778,3.3605113572218834,3.765472239156449
FDP,481,9.901193906957596,0.5363825363825364,0.49272349272349275,0.58004158004158,0.2390852390852391,0.20166320166320167,0.2806652806652807,3.045974632034376,2.8411759226126225,3.2646700138698717
SPD,324,6.669411280362289,0.3888888888888889,0.33641975308641975,0.4382716049382716,0.23765432098765432,0.19444444444444445,0.2840277777777777,2.846870993800819,2.601605168765257,3.0853797876824194
dieBasis,295,6.07245780156443,0.559322033898305,0.5016949152542373,0.6135593220338983,0.34915254237288135,0.2983050847457627,0.4033898305084746,5.69381826072281,5.2932016539286835,6.095084323842129
Grüne,278,5.722519555372582,0.539568345323741,0.4856115107913669,0.5935251798561151,0.23741007194244604,0.18705035971223022,0.29136690647482016,4.099209963465928,3.787451901920855,4.410227685561367
Freie Wähler,176,3.6228900782214906,0.4431818181818182,0.3693181818181818,0.5170454545454546,0.1590909090909091,0.10795454545454546,0.2159090909090909,3.4264677356782616,3.113455018265873,3.776082919791801
CDU,174,3.5817208727871552,0.5229885057471264,0.4481321839080461,0.5919540229885057,0.3505747126436782,0.27586206896551724,0.43103448275862066,2.9088185281470227,2.576309862494074,3.2444311938980728
MitBürger,117,2.4083985179086045,0.4358974358974359,0.3504273504273504,0.5213675213675214,0.21367521367521367,0.1452991452991453,0.2905982905982906,3.807704465599202,3.3355103585366743,4.309446085761874
Die PARTEI,29,0.5969534787978592,0.41379310344827586,0.2413793103448276,0.5862068965517241,0.20689655172413793,0.06896551724137931,0.3793103448275862,3.2821160543483563,2.325562858684454,4.353095722764503
