party,n_persons,pct_persons,mean_items_asked,items_ci_lo,items_ci_hi,top3_accuracy,top3_ci_lo,top3_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
AfD,1540,31.70028818443804,15.309090909090909,14.80711038961039,15.889058441558442,0.9727272727272728,0.964935064935065,0.9805194805194806,8.626190393977435,8.172026761551137,9.065308721570176
Die Linke Halle,814,16.75586661177439,18.332923832923832,17.560165847665846,19.159705159705158,0.9484029484029484,0.9324324324324325,0.9631756756756756,5.065987411762656,4.715070473098394,5.434018993915769
Volt,630,12.968299711815561,20.36984126984127,19.579285714285714,21.192103174603176,0.9571428571428572,0.9412698412698413,0.9714285714285714,3.7601699758666336,3.4327852172763826,4.070333399992015
FDP,481,9.901193906957596,17.16839916839917,16.174324324324324,18.208523908523908,0.9355509355509356,0.9126819126819127,0.9563409563409564,4.936171368912898,4.320914285282507,5.586630589613971
SPD,324,6.669411280362289,21.854938271604937,20.90733024691358,22.858256172839507,0.9660493827160493,0.9444444444444444,0.9845679012345679,3.067287796940228,2.6277433722294563,3.530852407294039
dieBasis,295,6.07245780156443,15.793220338983051,14.637203389830509,17.091864406779663,0.9694915254237289,0.9457627118644067,0.9864406779661017,6.4607885823478135,5.736886402292721,7.184165164916792
Grüne,278,5.722519555372582,19.730215827338128,18.48884892086331,20.966097122302155,0.9568345323741008,0.9316546762589928,0.9785071942446043,3.981874237812784,3.483260727725186,4.538676519904786
Freie Wähler,176,3.6228900782214906,22.40909090909091,20.85696022727273,24.02840909090909,0.9204545454545454,0.8806818181818182,0.9545454545454546,3.9684760264136285,3.145137007816996,4.816780426782676
CDU,174,3.5817208727871552,16.155172413793103,14.55646551724138,17.804885057471264,0.9597701149425287,0.9252873563218391,0.9827586206896551,5.2325483000492,4.260552207245222,6.439295242562272
MitBürger,117,2.4083985179086045,20.35042735042735,18.28162393162393,22.26517094017094,0.9316239316239316,0.8888888888888888,0.9743589743589743,3.6366486705219203,2.8660040993660822,4.527651971555378
Die PARTEI,29,0.5969534787978592,19.82758620689655,15.827586206896552,23.656896551724135,1.0,1.0,1.0,4.548851456903814,2.2423090418947322,7.745297164825971
