label,predictor,strategy,obs_top1_50,pred_top1_50,obs_top3_50,pred_top3_50,mean_items_top1,mean_items_top3,reached_top1,reached_top3,elapsed_s,status
ridge__entropy,ridge,entropy,0.6574162679425838,0.7287081339712919,0.47320574162679424,0.6464114832535885,7.577511961722488,9.997607655502392,0.9976076555023924,0.9899521531100478,256.4048128128052,ok
ridge__uncertainty,ridge,uncertainty,0.6478468899521531,0.6904306220095694,0.5665071770334928,0.6220095693779905,7.951674641148325,10.55598086124402,0.9923444976076555,0.9846889952153111,331.32553601264954,ok
ridge__random,ridge,random,0.6421052631578947,0.6789473684210526,0.5440191387559808,0.6392344497607656,7.895693779904306,10.763636363636364,0.9885167464114832,0.9794258373205742,23.343168020248413,ok
ridge__variance_reduction,ridge,variance_reduction,0.614354066985646,0.661244019138756,0.3832535885167464,0.5851674641148326,7.310047846889952,10.577990430622009,0.9966507177033492,0.9861244019138756,1865.6349260807037,ok
ridge__top1_change,ridge,top1_change,0.69377990430622,0.7172248803827751,0.5435406698564593,0.6291866028708134,5.113397129186603,9.391387559808612,0.999043062200957,0.991866028708134,1835.5368740558624,ok
ridge__top3_change,ridge,top3_change,0.6555023923444976,0.6889952153110048,0.5794258373205742,0.6631578947368421,8.16842105263158,8.101913875598086,0.992822966507177,0.9947368421052631,1849.436578989029,ok
naive_bayes__entropy,naive_bayes,entropy,0.5961722488038278,0.6684210526315789,0.40574162679425835,0.6095693779904306,7.58133971291866,12.070334928229665,0.9937799043062201,0.9861244019138756,363.0387661457062,ok
naive_bayes__uncertainty,naive_bayes,uncertainty,0.5942583732057416,0.6784688995215311,0.41004784688995216,0.6114832535885167,7.6454545454545455,10.729665071770334,0.9933014354066986,0.9875598086124402,378.9733519554138,ok
naive_bayes__random,naive_bayes,random,0.6421052631578947,0.6157894736842106,0.5440191387559808,0.5827751196172248,7.895693779904306,10.763636363636364,0.9885167464114832,0.9794258373205742,25.390970706939697,ok
naive_bayes__variance_reduction,naive_bayes,variance_reduction,0.6076555023923444,0.6301435406698565,0.4172248803827751,0.5822966507177033,7.522966507177033,11.065071770334928,0.9976076555023924,0.9861244019138756,1959.0887370109558,ok
naive_bayes__top1_change,naive_bayes,top1_change,0.716267942583732,0.6904306220095694,0.5444976076555024,0.5894736842105263,4.973684210526316,9.002870813397129,0.999043062200957,0.9889952153110048,1947.289146900177,ok
naive_bayes__top3_change,naive_bayes,top3_change,0.6607655502392344,0.645933014354067,0.6086124401913876,0.6081339712918661,8.260287081339714,8.021052631578947,0.9880382775119617,0.9933014354066986,1972.6781928539276,ok
